id,title,price,hood,link,source,amenities,lat,lon,in_search_area,address,bedrooms,bathrooms,postdate,sqft,L_min_dist,closest_L_stop
7430015976,Renovated Lakeview 2BD apt near Belmont Train! In-Unit W/D&Central A/C,1795.0, (Lakeview city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-renovated-lakeview-2bd-apt-near/7430015976.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: yearly']",41.936332,-87.657754,False,North Clifton Ave,2,1,2022-01-07 17:55,,,
7429983678,Lovely Roscoe 2BR + Office,1900.0, (Roscoe Village city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-lovely-roscoe-2br-office/7429983678.html,craigslist,"['air conditioning', 'application fee details: 45 app fee,  500 move-in fee,  NO security deposit', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: yearly']",41.94192,-87.684674,False,Bell near Roscoe,2,1,2022-01-07 16:35,1000ft2,,
7429979344,PET FRIENDLY 1BED IN ROGERS PARK! 7075 PAULINA,1600.0, (Rogers Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-pet-friendly-1bed-in-rogers/7429979344.html,craigslist,"['application fee details: $75 application fee for anyone 18 & over.', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: yearly']",42.011034,-87.672657,False,7075 North Paulina,3,1,2022-01-07 16:26,,,
7429946402,Nice apartment in a great location,1800.0, (Chicago city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-nice-apartment-in-great-location/7429946402.html,craigslist,"['air conditioning', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'street parking', 'rent period: monthly']",41.931115,-87.706158,False,"2751 North Troy Street #2, Chicago, IL 60647",3,1,2022-01-07 15:17,,,
7429935620,Happy In Hermosa! Super Affordable 2BD/1BA Available!,995.0, (Hermosa city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-happy-in-hermosa-super/7429935620.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'street parking', 'rent period: monthly']",41.918731,-87.726756,False,Dickens near Pulaski,2,1,2022-01-07 14:56,,,
7429919001,Incredible 2bedroom and Laundry in Unit! Lakeview,2200.0, (Lakeview Chicago city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-incredible-2bedroom-and-laundry/7429919001.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: yearly']",41.939632,-87.678455,False,Damen ave near Belmont ave,2,1,2022-01-07 14:22,,,
7429908906,Wonderful West Town Living! 3BD/2BA Available!,2300.0, (West Town city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-wonderful-west-town-living-3bd/7429908906.html,craigslist,"['air conditioning', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']",41.899632,-87.669854,False,W Augusta near N Paulina,3,2,2022-01-07 14:03,,,
7429905977,WHAT A DEAL for this 2Bed/1Bath Little Village,950.0, (Little Village city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-what-deal-for-this-2bed-1bath/7429905977.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: tile', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']",41.851932,-87.705154,False,Cermak near Kedzie,2,1,2022-01-07 13:58,,,
7429903926,PET FRIENDLY 4BED IN HYDE PARK! 5124-26 UNIVERSITY,2595.0, (Hyde Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-pet-friendly-4bed-in-hyde-park/7429903926.html,craigslist,"['application fee details: $75 application fee for anyone 18 & over.', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'no smoking', 'street parking', 'rent period: yearly']",41.80191,-87.598344,False,5124-26 South University,4,1,2022-01-07 13:54,,,
7429901664,Heat included with this 2Bed/1Bath in Belmont Cragin,1350.0, (Belmont Cragin city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-heat-included-with-this-2bed/7429901664.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']",41.933031,-87.756458,False,George near Laramie,2,1,2022-01-07 13:50,,,
